,MODEL,Region,Scenario,Year,Total_CO2,Total_GHG,TOTAL_CDR,CO2_Emissions,CUM_CO2,cumPopulation,CUM_CDR,GDP_cap,CUM_CDR_fair_share_by_GDP,CUM_CDR_fair_share_by_CUM_POP,CUM_CDR_model_vs_fair_share_by_CUM_POP,CUM_CDR_model_vs_fair_share_by_GDP
956,REMIND,USA,SSP5-19-SPA5-V17,2040,3053,3884,1453.77,5337.77,333505.2,17028.05,8736.59,71.46,11295.89,23908.21,15171.63,2559.31
957,REMIND,USA,SSP5-19-SPA5-V17,2050,-789.74,250.7,2835.19,3085.89,375623.53,21577.05,30181.41,80.28,35728.99,78929.08,48747.67,5547.58
958,REMIND,USA,SSP5-19-SPA5-V17,2060,-2694,-1612,3248.12,1636.12,399233.59,26617.55,60597.98,90.7,72460.57,157085.19,96487.21,11862.59
959,REMIND,USA,SSP5-19-SPA5-V17,2070,-3108,-1971,3389.84,1418.84,414508.41,32181.55,93787.79,104,116094.34,237589.51,143801.72,22306.55
960,REMIND,USA,SSP5-19-SPA5-V17,2080,-3188,-1973,3451.25,1478.25,428993.86,38265.55,127993.24,120.35,166255.53,316160.25,188167.01,38262.29
961,REMIND,USA,SSP5-19-SPA5-V17,2090,-3307.01,-2089,3548.16,1459.16,443680.91,44827.55,162990.3,139.54,223940.03,393535.44,230545.15,60949.74
962,REMIND,USA,SSP5-19-SPA5-V17,2100,-3410.02,-2122,3708.24,1586.24,458907.91,51790.55,199272.3,162.3,289857.65,471907.93,272635.63,90585.35
963,REMIND,World,SSP5-19-SPA5-V17,2020,39833.41,54500,598.01,55098.01,1360648.11,198374.51,598.01,13.49,,0,-598.01,
964,REMIND,World,SSP5-19-SPA5-V17,2030,37770.12,49170,959.37,50129.37,1886785.02,276404.51,8384.92,20.21,0,0,-8384.92,-8384.92
965,REMIND,World,SSP5-19-SPA5-V17,2040,22139.78,31900,6857.2,38757.2,2331217.85,358689.51,47467.75,29.35,0,0,-47467.75,-47467.75
966,REMIND,World,SSP5-19-SPA5-V17,2050,1254.27,10760,16285.73,27045.73,2660232.49,443599.51,163182.39,39.45,0,0,-163182.39,-163182.39
967,REMIND,World,SSP5-19-SPA5-V17,2060,-12839.73,-3828,19358.73,15530.73,2873114.76,529439.51,341404.67,51.3,0,0,-341404.67,-341404.67
968,REMIND,World,SSP5-19-SPA5-V17,2070,-16249.98,-7615,20639,13024,3015888.39,614669.51,541393.3,66.22,0,0,-541393.3,-541393.3
969,REMIND,World,SSP5-19-SPA5-V17,2080,-17929.95,-9532,21742.1,12210.1,3142058.89,697954.51,753298.79,83.72,0,0,-753298.79,-753298.79
970,REMIND,World,SSP5-19-SPA5-V17,2090,-19550.04,-11650,22783.31,11133.31,3258775.94,778109.51,975925.85,104.58,0,0,-975925.85,-975925.85
971,REMIND,World,SSP5-19-SPA5-V17,2100,-21309.59,-13990,23944.69,9954.69,3364215.98,854139.51,1209565.88,130.18,0,0,-1209565.88,-1209565.88
972,REMIND,AFR,SSP5-26-SPA5-V17,2020,1167.94,3092,270.15,3362.15,98055.84,21018.54,270.15,2.29,0,0,-270.15,-270.15
973,REMIND,AFR,SSP5-26-SPA5-V17,2030,1873.01,3942,21.31,3963.31,134683.15,31862.54,1727.46,4.13,0,0,-1727.46,-1727.46
974,REMIND,AFR,SSP5-26-SPA5-V17,2040,2647.09,5070,173.61,5243.61,180717.73,44412.54,2702.04,8.08,0,0,-2702.04,-2702.04
975,REMIND,AFR,SSP5-26-SPA5-V17,2050,2671.47,5448,860.22,6308.22,238476.88,58412.54,7871.19,15.12,0,0,-7871.19,-7871.19
976,REMIND,AFR,SSP5-26-SPA5-V17,2060,1456.88,4071,1557.82,5628.82,298162.05,73507.54,19961.36,26.22,0,0,-19961.36,-19961.36
977,REMIND,AFR,SSP5-26-SPA5-V17,2070,930.86,3379,1580.66,4959.66,351104.41,89347.54,35653.72,42.28,0,0,-35653.72,-35653.72
978,REMIND,AFR,SSP5-26-SPA5-V17,2080,-211.97,1460,1696.53,3156.53,391685.34,105597.54,52039.65,62.92,0,0,-52039.65,-52039.65
979,REMIND,AFR,SSP5-26-SPA5-V17,2090,-1189.94,183.2,1721.18,1904.38,416989.9,121932.54,69128.21,88.77,0,0,-69128.21,-69128.21
980,REMIND,AFR,SSP5-26-SPA5-V17,2100,-1406.99,-104.2,1723.55,1619.35,434608.58,138052.54,86351.89,121.2,0,0,-86351.89,-86351.89
981,REMIND,CHN,SSP5-26-SPA5-V17,2020,9930.89,12540,16.66,12556.66,244890.56,40161.53,16.66,15.37,275.11,0,-16.66,258.45
982,REMIND,CHN,SSP5-26-SPA5-V17,2030,9949.38,12080,20.66,12100.66,368177.18,53901.53,203.28,31.94,2150.63,0,-203.28,1947.35
983,REMIND,CHN,SSP5-26-SPA5-V17,2040,7888.49,9237,277.47,9514.47,476252.85,67341.53,1693.95,51.8,7514.92,569.17,-1124.78,5820.97
984,REMIND,CHN,SSP5-26-SPA5-V17,2050,4369.01,5547,1325.21,6872.21,558186.27,80116.53,9707.37,69.36,31052.41,3596.14,-6111.23,21345.04
985,REMIND,CHN,SSP5-26-SPA5-V17,2060,119.78,1134,2449.13,3583.13,610462.98,91941.53,28579.08,83.85,78686.05,11181.86,-17397.22,50106.97
986,REMIND,CHN,SSP5-26-SPA5-V17,2070,-1567,-655.6,2598.18,1942.58,638091.56,102641.53,53815.66,98.91,138969.37,22559.54,-31256.12,85153.71
987,REMIND,CHN,SSP5-26-SPA5-V17,2080,-2166,-1364,2727.26,1363.26,654620.77,112155.53,80442.87,114.26,202128.58,39490.45,-40952.42,121685.72
988,REMIND,CHN,SSP5-26-SPA5-V17,2090,-2371,-1753,2750.28,997.28,666423.43,120475.03,107830.53,130.81,263538.39,64763.07,-43067.47,155707.86
989,REMIND,CHN,SSP5-26-SPA5-V17,2100,-2479,-1917,2750.33,833.33,675576.47,127600.53,135333.57,151.35,320586.09,98610.07,-36723.5,185252.52
990,REMIND,EUR,SSP5-26-SPA5-V17,2020,3882.75,4787,110.04,4897.04,146204.53,14673.51,110.04,31.83,216.33,126.73,16.69,106.29
991,REMIND,EUR,SSP5-26-SPA5-V17,2030,4249,4974,78.91,5052.91,195954.29,20055.51,1054.8,38.23,1456.23,961.86,-92.94,401.43
992,REMIND,EUR,SSP5-26-SPA5-V17,2040,3991.26,4603,192.22,4795.22,245194.92,25738.01,2410.43,48.36,3726.82,2503.38,92.94,1316.39
993,REMIND,EUR,SSP5-26-SPA5-V17,2050,2878.16,3467,640.88,4107.88,289710.4,31749.01,6575.92,58.75,13652.57,9334.89,2758.97,7076.66
994,REMIND,EUR,SSP5-26-SPA5-V17,2060,1400.93,2030,1066.55,3096.55,325732.57,38111.51,15113.08,70.43,35641.71,25222.77,10109.69,20528.63
995,REMIND,EUR,SSP5-26-SPA5-V17,2070,554.32,1190,1225.51,2415.51,353292.89,44806.51,26573.4,85.38,68079.58,48190.25,21616.85,41506.18
996,REMIND,EUR,SSP5-26-SPA5-V17,2080,-121.8,621,1379.27,2000.27,375371.79,51779.01,39597.31,102.92,109177.48,74529.25,34931.94,69580.17
997,REMIND,EUR,SSP5-26-SPA5-V17,2090,-787.35,10.02,1379.17,1389.19,392319.11,58961.51,53389.52,122.96,158211.39,100211.03,46821.51,104821.86
998,REMIND,EUR,SSP5-26-SPA5-V17,2100,-1037,-223.1,1339.89,1116.79,404849.04,66285.01,66984.85,147.74,214623.93,121552.42,54567.57,147639.08
999,REMIND,IND,SSP5-26-SPA5-V17,2020,3390.42,5000,0,5000,65569.29,35177.71,0,5.27,0,0,0,0
1000,REMIND,IND,SSP5-26-SPA5-V17,2030,3977.47,5358,34.08,5392.08,117529.71,49267.71,170.43,9.97,0,0,-170.43,-170.43
1001,REMIND,IND,SSP5-26-SPA5-V17,2040,3191.56,4447,341.6,4788.6,168433.11,64157.71,2048.83,18.22,0,0,-2048.83,-2048.83
1002,REMIND,IND,SSP5-26-SPA5-V17,2050,2195.99,3360,916.3,4276.3,213757.61,79497.71,8338.33,29.11,0,0,-8338.33,-8338.33
1003,REMIND,IND,SSP5-26-SPA5-V17,2060,1106.03,2199,1293,3492,252599.11,94892.71,19384.83,42.49,0,0,-19384.83,-19384.83
1004,REMIND,IND,SSP5-26-SPA5-V17,2070,352.41,1319,1333,2652,283319.11,109937.71,32514.83,58.69,0,0,-32514.83,-32514.83
1005,REMIND,IND,SSP5-26-SPA5-V17,2080,-224.71,597.1,1368,1965.1,306404.61,124252.71,46019.83,76.05,0,0,-46019.83,-46019.83
1006,REMIND,IND,SSP5-26-SPA5-V17,2090,-753.71,-93.1,1375,1281.9,322639.62,137522.71,59734.84,95.43,0,0,-59734.84,-59734.84
1007,REMIND,IND,SSP5-26-SPA5-V17,2100,-940.1,-346.7,1375,1028.3,334190.65,149532.71,73484.87,119.58,0,0,-73484.87,-73484.87
1008,REMIND,LAM,SSP5-26-SPA5-V17,2020,2715.81,4865,72.41,4937.41,128888.04,17168.32,72.41,13.28,0,30.89,-41.52,-72.41
1009,REMIND,LAM,SSP5-26-SPA5-V17,2030,3608.14,5733,11.74,5744.74,182298.79,23613.32,493.16,19.38,0,311.28,-181.88,-493.16
1010,REMIND,LAM,SSP5-26-SPA5-V17,2040,3279.54,4888,170.18,5058.18,236313.36,30210.82,1402.73,28.81,0,1075.17,-327.56,-1402.73
1011,REMIND,LAM,SSP5-26-SPA5-V17,2050,1349.68,2647,829.58,3476.58,278987.14,36787.82,6401.51,40.82,0,4269.78,-2131.73,-6401.51
1012,REMIND,LAM,SSP5-26-SPA5-V17,2060,797.4,2019,1384.73,3403.73,313388.67,43186.32,17473.04,54.73,10402.12,12799.46,-4673.58,-7070.92
1013,REMIND,LAM,SSP5-26-SPA5-V17,2070,-431.59,679.9,1693,2372.9,342271.8,49289.32,32861.67,71.28,34167.02,29226.09,-3635.58,1305.35
1014,REMIND,LAM,SSP5-26-SPA5-V17,2080,-1442.59,-392.4,2031.64,1639.24,362332.5,55021.82,51484.87,90.06,62960.43,51069.58,-415.29,11475.56
1015,REMIND,LAM,SSP5-26-SPA5-V17,2090,-2066,-1108,2376.24,1268.24,376869.91,60318.32,73524.28,111.84,95118.07,77170.68,3646.4,21593.8
1016,REMIND,LAM,SSP5-26-SPA5-V17,2100,-2486,-1592,2764.16,1172.16,389071.93,65108.32,99226.29,138.68,129092.59,108187.45,8961.16,29866.29
1017,REMIND,MEA,SSP5-26-SPA5-V17,2020,4067.96,5619,5.9,5624.9,105103.29,13066.42,5.9,0,,43.02,37.12,
1018,REMIND,MEA,SSP5-26-SPA5-V17,2030,4195.06,5490,12.33,5502.33,160739.41,18590.42,97.02,0,0,537.1,440.09,-97.02
1019,REMIND,MEA,SSP5-26-SPA5-V17,2040,3593.25,4362,63.62,4425.62,210379.13,24547.42,476.74,0,0,1538.18,1061.44,-476.74
1020,REMIND,MEA,SSP5-26-SPA5-V17,2050,2546.97,3129,393.97,3522.97,250122.05,30790.92,2764.66,0,0,5491.87,2727.22,-2764.66
1021,REMIND,MEA,SSP5-26-SPA5-V17,2060,498.06,968.9,1283,2251.9,278996.38,37153.92,11149.49,0,0,13669.26,2519.77,-11149.49
1022,REMIND,MEA,SSP5-26-SPA5-V17,2070,-1237.39,-820.7,2044,1223.3,296372.38,43484.42,27784.49,0,0,22916.83,-4867.66,-27784.49
1023,REMIND,MEA,SSP5-26-SPA5-V17,2080,-1909.53,-1547,2322.92,775.92,306368.47,49655.92,49619.08,0,0,30213.67,-19405.41,-49619.08
1024,REMIND,MEA,SSP5-26-SPA5-V17,2090,-2441.27,-2102,2818.81,716.81,313832.1,55558.92,75327.71,0,0,36597.96,-38729.74,-75327.71
1025,REMIND,MEA,SSP5-26-SPA5-V17,2100,-2994.97,-2694,3337,643,320631.15,61106.42,106106.76,0,0,43446.76,-62660,-106106.76
1026,REMIND,RUS,SSP5-26-SPA5-V17,2020,1310.3,2438,264.21,2702.21,83474.82,4498.97,264.21,21.05,38.79,146.43,-117.78,-225.42
1027,REMIND,RUS,SSP5-26-SPA5-V17,2030,1330,2143,91.25,2234.25,108157.14,5912.47,2041.54,33.22,276.8,1138.21,-903.33,-1764.74
1028,REMIND,RUS,SSP5-26-SPA5-V17,2040,1192.02,1870,54.02,1924.02,128948.51,7315.47,2767.91,48.46,815.03,2855.76,87.85,-1952.88
1029,REMIND,RUS,SSP5-26-SPA5-V17,2050,1027.87,1660,149.32,1809.32,147615.22,8705.47,3784.61,59.67,3091.61,10431.09,6646.48,-693
1030,REMIND,RUS,SSP5-26-SPA5-V17,2060,585.73,1239,419.45,1658.45,164954.09,10069.97,6628.49,70.49,7791.98,29009.34,22380.86,1163.5
1031,REMIND,RUS,SSP5-26-SPA5-V17,2070,-85.74,761.2,722.78,1483.98,180666.26,11391.97,12339.66,85.8,14184.82,58852.45,46512.79,1845.16
1032,REMIND,RUS,SSP5-26-SPA5-V17,2080,-376.22,613.3,802.68,1415.98,195166.04,12648.97,19966.94,101.81,21539.13,97834.82,77867.88,1572.2
1033,REMIND,RUS,SSP5-26-SPA5-V17,2090,-559.16,436.8,810.37,1247.17,208481.76,13818.97,28032.16,119.52,29342.82,144157.92,116125.76,1310.66
1034,REMIND,RUS,SSP5-26-SPA5-V17,2100,-658.43,232.8,785.61,1018.41,219809.64,14888.47,36012.04,140.61,37241.4,195438.25,159426.22,1229.36
1035,REMIND,USA,SSP5-26-SPA5-V17,2020,5669.46,6822,0.11,6822.11,208608.72,9256.05,0.11,49.08,220.74,403.89,403.78,220.63
1036,REMIND,USA,SSP5-26-SPA5-V17,2030,6162,6983,34.08,7017.08,277804.68,12929.55,171.07,58.05,1503.11,3189.29,3018.23,1332.04
1037,REMIND,USA,SSP5-26-SPA5-V17,2040,5349.3,6069,360.09,6429.09,345035.55,17028.05,2141.94,72.54,4005.38,8271.47,6129.53,1863.44
1038,REMIND,USA,SSP5-26-SPA5-V17,2050,3015.93,3890,1504,5394,404151.01,21577.05,11462.4,82.71,14849.69,30273.47,18811.07,3387.29
1039,REMIND,USA,SSP5-26-SPA5-V17,2060,-197.41,767.8,2467.05,3234.85,447295.27,26617.55,31317.66,92.75,38483.77,79873.91,48556.25,7166.11
1040,REMIND,USA,SSP5-26-SPA5-V17,2070,-1788.27,-799.4,2762.96,1963.56,473287.31,32181.55,57467.7,105.59,72824.94,147231.53,89763.83,15357.25
1041,REMIND,USA,SSP5-26-SPA5-V17,2080,-2627.63,-1591,3217.74,1626.74,491238.79,38265.55,87371.18,121.99,116224.73,219643.56,132272.38,28853.56
1042,REMIND,USA,SSP5-26-SPA5-V17,2090,-3064,-1880,3438.08,1558.08,507162.89,44827.55,120650.27,140.93,168434.58,292495.55,171845.28,47784.3
1043,REMIND,USA,SSP5-26-SPA5-V17,2100,-3108,-1921,3437.4,1516.4,522535.28,51790.55,155027.66,164.12,228947.96,364007.99,208980.33,73920.3
1044,REMIND,World,SSP5-26-SPA5-V17,2020,39561.25,54500,750.97,55250.97,1361030.5,198374.51,750.97,13.49,,0,-750.97,
1045,REMIND,World,SSP5-26-SPA5-V17,2030,43164.65,56030,326.39,56356.39,1919067.27,276404.51,6137.75,20.45,0,0,-6137.75,-6137.75
1046,REMIND,World,SSP5-26-SPA5-V17,2040,38019.98,48610,1808.69,50418.69,2452942.65,358689.51,16813.13,30.29,0,0,-16813.13,-16813.13
1047,REMIND,World,SSP5-26-SPA5-V17,2050,24985.27,35120,7508.14,42628.14,2918176.79,443599.51,63397.26,40.98,0,0,-63397.26,-63397.26
1048,REMIND,World,SSP5-26-SPA5-V17,2060,7483.28,17170,14163.73,31333.73,3287986.13,529439.51,171756.6,53.09,0,0,-171756.6,-171756.6
1049,REMIND,World,SSP5-26-SPA5-V17,2070,-3988.33,5360,17280.29,22640.29,3557856.22,614669.51,328976.7,68.2,0,0,-328976.7,-328976.7
1050,REMIND,World,SSP5-26-SPA5-V17,2080,-11349.67,-2804,19480.64,16676.64,3754440.86,697954.51,512781.33,85.77,0,0,-512781.33,-512781.33
1051,REMIND,World,SSP5-26-SPA5-V17,2090,-16493.76,-8552,21042.34,12490.34,3900275.74,778109.51,715396.21,106.45,0,0,-715396.21,-715396.21
1052,REMIND,World,SSP5-26-SPA5-V17,2100,-18976.59,-11420,22127.01,10707.01,4016262.48,854139.51,931242.95,132.23,0,0,-931242.95,-931242.95
